step,policy_loss,qf1_loss,qf2_loss,vf_loss,vf_pred,alpha,wall_sec
13700,-25.944780349731445,127.88542175292969,156.700927734375,8.754962921142578,-10.305061340332031,0.0,731.0141153335571
13800,-32.66678237915039,115.26858520507812,147.0867156982422,9.33277702331543,-9.098064422607422,0.0,736.0006520748138
13900,-41.66691207885742,139.1110076904297,139.5633544921875,9.80152702331543,-11.182117462158203,0.0,743.5518074035645
14000,-61.47447967529297,126.51025390625,126.48523712158203,10.059595108032227,-11.524397850036621,0.0,745.649561882019
14100,-26.866819381713867,128.20811462402344,140.52467346191406,10.23721694946289,-12.666062355041504,0.0,751.1493518352509
14200,-23.83031463623047,117.023193359375,124.79426574707031,9.577065467834473,-9.102119445800781,0.0,757.7151412963867
14300,-20.25865364074707,119.22663116455078,120.69772338867188,9.904922485351562,-10.53772258758545,0.0,764.7133803367615
14400,-123.6575698852539,142.54888916015625,152.61669921875,9.799771308898926,-10.191793441772461,0.0,769.5427215099335
14500,-14.107686042785645,140.04501342773438,122.84962463378906,11.02042293548584,-8.988375663757324,0.0,775.9661886692047
14600,-34.947120666503906,170.9313507080078,183.3843994140625,9.525100708007812,-10.454757690429688,0.0,780.1463022232056
14700,-33.418155670166016,138.87200927734375,148.66708374023438,9.756546974182129,-9.956599235534668,0.0,784.1968884468079
14800,-21.08363914489746,131.35910034179688,120.10577392578125,9.893092155456543,-10.457894325256348,0.0,790.6904740333557
14900,-25.906723022460938,134.4450225830078,139.09970092773438,11.62783145904541,-8.795005798339844,0.0,795.8094711303711
15000,-34.754905700683594,165.02886962890625,171.00271606445312,11.343362808227539,-9.493145942687988,0.0,800.8298981189728
15100,-43.745948791503906,121.2505874633789,126.72740173339844,11.673179626464844,-11.752029418945312,0.0,807.814094543457
15200,-44.02764129638672,105.782470703125,106.56895446777344,10.603663444519043,-9.027560234069824,0.0,812.2923288345337
15300,-58.79094314575195,119.36846923828125,124.51687622070312,9.805092811584473,-9.339086532592773,0.0,817.4874186515808
15400,-29.848400115966797,150.75648498535156,149.39761352539062,9.704310417175293,-10.94798755645752,0.0,822.6193866729736
15500,-34.69950866699219,133.19068908691406,130.86520385742188,11.348880767822266,-9.332931518554688,0.0,828.2694017887115
15600,-52.596351623535156,116.03428649902344,127.21134948730469,10.621170997619629,-10.661534309387207,0.0,832.914056301117
15700,-113.78417205810547,199.52024841308594,192.1981964111328,11.546422958374023,-11.308053970336914,0.0,834.5251984596252
15800,-39.783992767333984,122.69197845458984,119.9349365234375,10.298957824707031,-10.04345417022705,0.0,838.596001625061
15900,-63.69247055053711,186.5970001220703,177.99449157714844,12.825862884521484,-10.369807243347168,0.0,844.1669583320618
16000,-35.497840881347656,122.82778930664062,120.07988739013672,10.83373737335205,-10.487374305725098,0.0,850.7247653007507
16100,-31.428363800048828,152.7803192138672,172.32322692871094,11.071020126342773,-9.770742416381836,0.0,855.8005790710449
16200,-10.438033103942871,147.64889526367188,136.69192504882812,12.861642837524414,-10.776891708374023,0.0,860.3725171089172
16300,-32.180023193359375,115.55476379394531,111.3058853149414,10.835676193237305,-9.836661338806152,0.0,866.2956163883209
16400,-33.79557418823242,120.55448913574219,131.43898010253906,9.440991401672363,-9.486383438110352,0.0,868.7783493995667
16500,-22.800125122070312,109.089599609375,118.79705810546875,12.00712776184082,-7.465699672698975,0.0,874.4691579341888
16600,-126.56114196777344,101.70856475830078,102.48509216308594,12.071186065673828,-11.538875579833984,0.0,878.5130155086517
16700,-50.977684020996094,143.5634002685547,134.03355407714844,9.99222183227539,-9.626692771911621,0.0,882.7189106941223
16800,-46.80192184448242,134.98883056640625,129.21522521972656,12.073417663574219,-12.29507827758789,0.0,889.2142140865326
16900,-39.555362701416016,118.05304718017578,118.56505584716797,13.640054702758789,-8.925166130065918,0.0,894.1365003585815
17000,-40.539337158203125,106.91666412353516,111.63961791992188,11.51651382446289,-9.340152740478516,0.0,898.6481671333313
17100,-60.88463592529297,120.26498413085938,124.34761810302734,12.758758544921875,-10.895268440246582,0.0,904.990941286087
17200,-70.25092315673828,115.09202575683594,116.82940673828125,11.020866394042969,-9.505819320678711,0.0,911.0873093605042
17300,-51.264892578125,133.80413818359375,126.06900787353516,11.188835144042969,-10.301733016967773,0.0,916.2981741428375
17400,-48.721553802490234,139.52142333984375,137.66226196289062,11.354496955871582,-8.550027847290039,0.0,923.0090367794037
17500,-102.1583023071289,147.09609985351562,152.75137329101562,11.64857292175293,-11.75333023071289,0.0,925.2691159248352
17600,-72.30500030517578,117.61248016357422,123.80760955810547,12.655129432678223,-10.183300018310547,0.0,931.1544494628906
17700,-66.2248764038086,128.8701171875,140.7542724609375,12.355256080627441,-11.050565719604492,0.0,936.6583344936371
17800,-14.782500267028809,127.76519012451172,131.18165588378906,11.576217651367188,-10.024397850036621,0.0,940.7204005718231
17900,-51.385536193847656,142.1613006591797,156.9087677001953,11.496797561645508,-9.173439025878906,0.0,946.413298368454
18000,-67.12997436523438,152.1863555908203,154.36245727539062,13.174007415771484,-10.760247230529785,0.0,951.822496175766
18100,-57.9642219543457,112.09139251708984,112.78285217285156,12.000229835510254,-9.860628128051758,0.0,954.2232701778412
18200,-29.237411499023438,112.28456115722656,125.49504852294922,11.014217376708984,-11.219074249267578,0.0,957.4581260681152
18300,-117.1724853515625,151.06202697753906,146.86390686035156,12.757159233093262,-11.660500526428223,0.0,963.5278871059418
18400,-55.1382942199707,126.25003814697266,127.51310729980469,13.695632934570312,-10.207514762878418,0.0,970.5337886810303
18500,-30.876855850219727,125.21692657470703,130.435546875,12.734991073608398,-10.313925743103027,0.0,978.4756891727448
18600,-30.12900733947754,130.30604553222656,132.713623046875,11.484288215637207,-9.336885452270508,0.0,984.0013282299042
18700,-80.09851837158203,127.98412322998047,130.97994995117188,12.55138111114502,-10.692490577697754,0.0,986.1318068504333
18800,-30.46957778930664,132.28729248046875,130.71707153320312,13.870987892150879,-10.416590690612793,0.0,991.2376928329468
18900,-63.32941436767578,125.60526275634766,135.3180389404297,12.788576126098633,-12.409364700317383,0.0,995.3293740749359
19000,-39.901363372802734,126.97599792480469,128.74449157714844,14.391312599182129,-10.19895076751709,0.0,1000.9469604492188
19100,-47.96263885498047,173.8556671142578,180.7677001953125,11.643260955810547,-9.393608093261719,0.0,1005.6203238964081
19200,-56.54133605957031,120.24942016601562,127.43523406982422,13.097684860229492,-10.764883995056152,0.0,1012.1549217700958
19300,-54.507686614990234,112.92890930175781,120.03498840332031,14.135117530822754,-11.135869026184082,0.0,1015.04296708107
19400,-40.204158782958984,119.31432342529297,127.2186508178711,13.045799255371094,-11.200034141540527,0.0,1020.2401320934296
19500,-60.09099197387695,102.58860778808594,103.46590423583984,12.716500282287598,-9.587418556213379,0.0,1027.0254476070404
19600,-11.173645973205566,115.64823913574219,115.7566909790039,14.077916145324707,-10.352499008178711,0.0,1032.7891144752502
19700,-35.803619384765625,133.620361328125,131.34568786621094,12.216544151306152,-10.822122573852539,0.0,1037.639610528946
19800,-30.632091522216797,126.228271484375,128.9052276611328,12.91915225982666,-8.245756149291992,0.0,1042.8733704090118
19900,-43.98450469970703,116.72781372070312,119.28436279296875,11.991652488708496,-9.04910945892334,0.0,1045.5998148918152
20000,-34.486114501953125,118.0034408569336,117.47557067871094,14.39552116394043,-9.697491645812988,0.0,1052.5658702850342
20100,-32.19789123535156,126.15546417236328,117.34829711914062,13.272627830505371,-9.64005184173584,0.0,1056.154522895813
20200,-73.31551361083984,118.09527587890625,130.02943420410156,12.777151107788086,-10.029340744018555,0.0,1061.5814843177795
